year-month-day hour-min-sec currentUser currentUserStatus lockerID lockerOwner action
2016-03-25 02:28:38 1 0 2 -1 lock
2016-03-25 02:28:38 1 0 2 1 unlock
2016-03-25 02:28:38 1 0 2 -1 lock
2016-03-25 02:28:39 1 0 2 1 unlock
2016-03-25 02:28:39 1 0 2 -1 lock
2016-03-25 02:35:55 1 0 2 1 unlock
2016-03-25 02:35:56 1 0 2 -1 lock
2016-03-25 02:35:57 1 0 3 1 unlock
2016-03-25 02:35:57 1 0 3 -1 lock
2016-03-25 04:08:17 1 0 3 1 unlock
2016-03-25 04:08:17 1 0 3 -1 lock
2016-03-25 04:08:17 1 0 3 1 unlock
2016-03-25 04:08:18 1 0 2 1 unlock
2016-03-25 04:11:07 1 0 2 -1 lock
2016-03-25 04:11:07 1 0 2 1 unlock
2016-03-25 04:11:08 1 0 2 -1 lock
2016-03-25 04:11:09 1 0 3 -1 lock
2016-03-25 04:11:11 1 0 2 1 unlock
2016-03-25 04:11:12 1 0 3 1 unlock
2016-03-25 04:12:02 1 0 1 -1 lock
2016-03-25 04:12:03 1 0 2 -1 lock
2016-03-25 04:15:26 1 0 1 1 unlock
2016-03-25 04:15:26 1 0 1 -1 lock
2016-03-25 04:15:27 1 0 2 1 unlock
2016-03-25 04:15:28 1 0 2 -1 lock
2016-03-25 06:09:47 1 0 1 1 unlock
2016-03-25 06:09:48 1 0 0 -1 lock
2016-03-25 06:09:54 1 0 0 1 unlock
2016-03-25 07:01:39 1 0 0 -1 lock
2016-03-25 07:01:40 1 0 0 1 unlock
2016-03-25 07:31:23 1 0 0 -1 lock
2016-03-25 07:31:27 1 0 0 1 unlock
2016-03-25 07:31:27 1 0 0 -1 lock
2016-03-25 07:31:32 1 0 2 1 unlock
2016-03-25 07:31:33 1 0 1 -1 lock
2016-03-25 07:31:36 1 0 1 1 unlock
2016-03-25 07:33:35 1 0 0 1 unlock
2016-03-25 07:33:37 1 0 0 -1 lock
2016-03-25 07:33:38 1 0 0 1 unlock
2016-03-25 07:33:38 1 0 0 -1 lock
2016-03-25 07:33:38 1 0 0 1 unlock
2016-03-25 07:33:39 1 0 0 -1 lock
2016-03-25 07:33:39 1 0 0 1 unlock
2016-03-25 07:33:39 1 0 0 -1 lock
2016-03-25 07:33:39 1 0 0 1 unlock
2016-03-25 07:33:40 1 0 0 -1 lock
2016-03-25 07:33:40 1 0 0 1 unlock
